"code","name","street_1","street_2","city","postcode","email"
"F84009","STRATFORD VILLAGE SURGERY","50C ROMFORD ROAD","STRATFORD","LONDON","E15 4BZ",NULL
"F84008","BARTON HOUSE HEALTH CTR","233 ALBION ROAD","STOKE NEWINGTON","LONDON","N16 9JT",NULL
"F84006","SHREWSBURY ROAD HLTH CTR","SHREWSBURY ROAD","FOREST GATE","LONDON","E7 8QP",NULL
"F84004","MARKET STREET HEALTH GRP","52 MARKET STREET","EAST HAM","LONDON","E6 2RA",NULL
"F84003","LOWER CLAPTON HEALTH CTR.","36 LOWER CLAPTON ROAD","","LONDON","E5 0PD",NULL
"F83672","ST PHILLIPS HEALTH CENTRE","LONDON SCH.OF ECONOMICS","HOUGHTON STREET","LONDON","WC2A 2AE",NULL
"F83671","THE HORNSEY RISE PRACTICE","HORNSEY RISE HEALTH CTR.","HORNSEY RISE","LONDON","N19 3XU",NULL
"F83664","ISELDON ROAD MEDICAL CTR","115 ISELDON ROAD","","LONDON","N7 7JJ",NULL
"F83658","BELSIZE PRIORY MED PRACT","208 BELSIZE ROAD","KILBURN","LONDON","NW6 4DX",NULL
"F83652","THE AMWELL PRACTICE","4 NAOROJI STREET","ISLINGTON","LONDON","WC1X 0GB",NULL
"F83651","MED.COL.OF.ST.BARTHOLOMEW","HOSPITAL","CHARTER HOUSE SQUARE","LONDON","EC1M 6BQ",NULL
"F83644","THE VILLAGE PRACTICE","115 ISLEDON ROAD","","LONDON","N7 7JJ",NULL
"F83642","DOCTORS SURGERY","510 HORNSEY ROAD","","LONDON","N19 3QW",NULL
"F83623","THE KEATS GROUP PRACTICE","18 ROSSLYN HILL","HAMPSTEAD","LONDON","NW3 1PD",NULL
"F83064","CITY HOUSE MEDICAL CENTRE","UNIT 1-3 GROUND FLOOR","CITY HSE.,190-196 CITY RD","LONDON","EC1V 2QH",NULL
"F83058","THE HOLBORN MEDICAL CTR.","64-66 LAMB'S CONDUIT ST.","HOLBORN","LONDON","WC1N 3NA",NULL
"F83048","BRUNSWICK MEDICAL CENTRE","39 BRUNSWICK CENTRE","","LONDON","WC1N 1AF",NULL
"F83023","JAMES WIGG GROUP PRACTICE","KENTISH TOWN HEALTH CTR","2 BARTHOLOMEW ROAD","LONDON","NW5 2AJ",NULL
"F83022","THE CAVERSHAM GROUP PRACT","KENTISH TOWN HEALTH CTR","2 BARTHOLOMEW ROAD","LONDON","NW5 2AJ",NULL
"F83012","ELIZABETH AVE GROUP PRAC.","2 ELIZABETH AVENUE","ISLINGTON","LONDON","N1 3BS",NULL
"F83011","PRIMROSE HILL SURGERY","99 REGENTS PARK ROAD","","LONDON","NW1 8UR",NULL
"F83008","GOODINGE HEALTH CENTRE","GOODINGE CLOSE","NORTH ROAD","LONDON","N7 9EW",NULL
"F83006","CROWNDALE HEALTH CENTRE","59 CROWNDALE ROAD","","LONDON","NW1 1TN",NULL
"F83003","THE PARK END SURGERY","3 PARK END","(OFF SOUTH HILL PARK)","LONDON","NW3 2SE",NULL
"F83002","RIVER PLACE HEALTH CENTRE","RIVER PLACE","ESSEX ROAD","LONDON","N1 2DE",NULL
"E87774","THE PASSAGE","ST VINCENTS","CARLISLE PLACE","LONDON","SW1P 1NL",NULL
"E87768","KINGS COLLEGE HEALTH CTR","3RD FLR MACADAM BUILDING","SURREY STREET","LONDON","WC2R 2LS",NULL
"E87762","THE BELGRAVIA SURGERY","24-26 ECCLESTONE STREET","BELGRAVIA","LONDON","SW1W 9PY",NULL
"E87757","CONTINUING CARE UNIT","BARRY RICHARDS HOUSE","6 PENYWERN ROAD","LONDON","SW5 9ST",NULL
"E87756","THE LANARK MEDICAL CENTRE","GROUND FLOOR","165 LANARK ROAD","LONDON","W9 1NZ",NULL
"E87755","QUEENS PARK HEALTH CENTRE","DART STREET","KENSAL GREEN","LONDON","W10 4LY",NULL
"E87754","THE WELLINGTON HEALTH CTR","16 WELLINGTON ROAD","ST JOHN'S WOOD","LONDON","NW8 9SP",NULL
"E87735","QUEENS PARK HEALTH CENTRE","DART STREET","KENSAL GREEN","LONDON","W10 4LY",NULL
"E87733","EXMOOR SURGERY","EXMOOR STREET","","LONDON","W10 6DZ",NULL
"E87701","THE ABINGDON HEALTH CTRE","88-92 EARLS COURT ROAD","KENSINGTON","LONDON","W8 6EG",NULL
"E87677","IMPERIAL COLLEGE HTH CTR","(SOUTHSIDE,WATTS WAY)","40 PRINCES GARDENS","LONDON","SW7 1LY",NULL
"E87671","WOOD'S MEWS PRACTICE","22 WOODS MEWS","","LONDON","W1K 7DS",NULL
"E87070","THE CRAWFORD ST SURGERY","95-97 CRAWFORD STREET","","LONDON","W1H 2HJ",NULL
"E87069","SOHO CTR FOR HLTH & CARE","FIRST FLOOR","30 SOHO SQUARE","LONDON","W1D 3QS",NULL
"E87062","THE MAYFAIR MEDICAL CENTRE","3-5 WEIGHHOUSE STREET","","LONDON","W1K 5LS",NULL
"E87045","COVENT GARDEN MEDICAL CTR","ERIC KNAPP","47 SHORTS GARDENS","LONDON","WC2H 9AA",NULL
"E87039","THE SURGERY","UNIT 5","1-31 ELKSTONE ROAD","LONDON","W10 5AX",NULL
"E87026","MEANWHILE GARDEN MED CTR","UNIT 5","1-31 ELKSTONE ROAD","LONDON","W10 5NT",NULL
"E87010","MAIDA VALE HEALTH CENTRE","40 BIDDULPH MANSIONS","210 ELGIN AVENUE","LONDON","W9 1HT",NULL
"E87008","PADDINGTON GREEN HEALTH CENTRE","4 PRINCESS LOUISE CLOSE","","LONDON","W2 1LQ",NULL
"E85752","PARSONS GREEN CENTRE","5-7 PARSONS GREEN","FULHAM","LONDON","SW6 4UL",NULL
"E85748","THE MEDICAL CENTRE","13 OLLGAR CLOSE","UXBRIDGE ROAD","LONDON","W12 0NF",NULL
"E85731","HANWELL HEALTH CENTRE","20 CHURCH ROAD","HANWELL","LONDON","W7 1DR",NULL
"E85726","MATTOCK LANE HEALTH CTR.","78 MATTOCK LANE","WEST EALING","LONDON","W13 9NZ",NULL
"E85703","THE MEDICAL CENTRE","292 MUNSTER ROAD","FULHAM","LONDON","SW6 6BQ",NULL
"E85694","BOILEAU ROAD SURGERY","104 BOILEAU ROAD","EALING","LONDON","W5 3AJ",NULL
"E85693","GROVE PARK SURGERY","95 BURLINGTON LANE","CHISWICK","LONDON","W4 3ET",NULL
"E85692","THE WELLESLEY RD SURGERY","7 WELLESLEY ROAD","CHISWICK","LONDON","W4 4BJ",NULL
"E85691","CROSSLEY HOUSE SURGERY","SUTTON LANE NORTH","CHISWICK","LONDON","W4 4HF",NULL
"E85685","THE LILYVILLE SURGERY","630 FULHAM ROAD","FULHAM","LONDON","SW6 5RS",NULL
"E85672","SALISBURY SURGERY","178 DAWES ROAD","","LONDON","SW6 7HS",NULL
"E85669","50 WYNDHAM ROAD","WEST EALING","","LONDON","W13 9TE",NULL
"E85659","WHITE CITY HEALTH CENTRE","AUSTRALIA ROAD","SHEPHERDS BUSH","LONDON","W12 7PH",NULL
"E85658","HOLLY ROAD MEDICAL CENTRE","2A HOLLY ROAD","CHISWICK","LONDON","W4 1NU",NULL
"E85657","EALING PARK HEALTH CENTRE","195A SOUTH EALING ROAD","EALING","LONDON","W5 4RH",NULL
"E85650","EALING PARK HEALTH CENTRE","195A SOUTH EALING ROAD","EALING","LONDON","W5 4RH",NULL
"E85646","MILSON ROAD HEALTH CENTRE","1-13 MILSON ROAD","WEST KENSINGTON","LONDON","W14 0LJ",NULL
"E85636","PARK MEDICAL CENTRE","INVER COURT,INVERMEAD CL","","LONDON","W6 0QG",NULL
"E85630","WESTERN AVENUE SURGERY","56 WESTERN AVENUE","ACTON","LONDON","W3 7TY",NULL
"E85628","ELTHORNE PARK SURGERY","106 ELTHORNE PARK ROAD","HANWELL","LONDON","W7 2JJ",NULL
"E85625","CHISWICK HEALTH CENTRE","FISHERS LANE","CHISWICK","LONDON","W4 1RX",NULL
"E85624","WHITE CITY HEALTH CENTRE","AUSTRALIA ROAD","SHEPHERDS BUSH","LONDON","W12 7PH",NULL
"E85617","ACTON HEALTH CENTRE","35/61 CHURCH ROAD","ACTON","LONDON","W3 8PU",NULL
"E85128","SANDS END HEALTH CLINIC","170 WANDSWORTH BRIDGE RD","FULHAM","LONDON","SW6 2UQ",NULL
"E85125","STERNDALE SURGERY","74A STERNDALE ROAD","WEST KENSINGTON","LONDON","W14 0HX",NULL
"E85122","THE FLORENCE ROAD SURGERY","26 FLORENCE ROAD","EALING","LONDON","W5 3TX",NULL
"E85120","THE ARGYLE SURGERY","128 ARGYLE ROAD","WEST EALING","LONDON","W13 8ER",NULL
"E85118","THE FULHAM MEDICAL CENTRE","446 FULHAM ROAD","FULHAM","LONDON","SW6 1BG",NULL
"E85116","CUCKOO LANE SURGERY","14 CUCKOO LANE","HANWELL","LONDON","W7 3EY",NULL
"E85110","DOCTORS SURGERY","172 WANDSWORTH BRIDGE ROAD","","LONDON","SW6 2UQ",NULL
"E85109","THE ACTON HEALTH CENTRE","35/61 CHURCH ROAD","ACTON","LONDON","W3 8QE",NULL
"E85107","THE MILL HILL SURGERY","111 AVENUE ROAD","ACTON","LONDON","W3 8QH",NULL
"E85091","BRUNSWICK ROAD MED.CTR.","75 BRUNSWICK ROAD","EALING","LONDON","W5 1AQ",NULL
"E85072","MATTOCK LANE HEALTH CTR.","78 MATTOCK LANE","WEST EALING","LONDON","W13 9NZ",NULL
"E85057","QUEENS WALK PRACTICE","6 QUEENS WALK","EALING","LONDON","W5 1TP",NULL
"E85055","THE BUSH DOCTORS","16-17 WEST 12 SHOPP CTR","SHEPHERDS BUSH","LONDON","W12 8PP",NULL
"E85051","GREENFORD AVE MEDICAL CTR","322 GREENFORD AVENUE","HANWELL","LONDON","W7 3AH",NULL
"E85048","WHITE CITY HEALTH CENTRE","AUSTRALIA ROAD","SHEPHERDS BUSH","LONDON","W12 7PH",NULL
"E85042","THE NEW SURGERY","143A UXBRIDGE ROAD","SHEPHERDS BUSH","LONDON","W12 9RD",NULL
"E85041","HANWELL HEALTH CENTRE","20 CHURCH ROAD","HANWELL","LONDON","W7 1DR",NULL
"E85040","THE CHISWICK HEALTH CTR","FISHERS LANE","CHISWICK","LONDON","W4 1RX",NULL
"E85038","PALACE SURGERY","510 FULHAM PALACE ROAD","FULHAM","LONDON","SW6 6JD",NULL
"E85034","GROSVENOR HOUSE","147 THE BROADWAY","WEST EALING","LONDON","W13 9BE",NULL
"E85032","THE ASHCHURCH SURGERY","134 ASKEW ROAD","SHEPHERDS BUSH","LONDON","W12 9BP",NULL
"E85030","CHISWICK HEALTH CENTRE","FISHERS LANE","CHISWICK","LONDON","W4 1RX",NULL
"E85029","THE MEDICAL CENTRE","292 MUNSTER ROAD","FULHAM","LONDON","SW6 6BQ",NULL
"E85028","HILLCREST SURGERY","337 UXBRIDGE ROAD","ACTON","LONDON","W3 9RA",NULL
"E85026","MATTOCK LANE HEALTH CTR.","78 MATTOCK LANE","WEST EALING","LONDON","W13 9NZ",NULL
"E85025","651A FULHAM ROAD","","FULHAM","LONDON","SW6 5PX",NULL
"E85022","DOCTORS SURGERY","3 SHEPHERDS BUSH ROAD","","LONDON","W6 7NA",NULL
"E85019","CROWN STREET SURGERY","2 LOMBARD CT,CROWN STREET","ACTON","LONDON","W3 8SA",NULL
"E85016","THE GROVE HEALTH CENTRE","95 GOLDHAWK ROAD","SHEPHERDS BUSH","LONDON","W12 8EL",NULL
"E85014","NORTHFIELDS SURGERY","61 NORTHFIELD AVENUE","EALING","LONDON","W13 9QP",NULL
"E85013","HANWELL HEALTH CENTRE","20 CHURCH ROAD","HANWELL","LONDON","W7 1DR",NULL
"E85008","THE SURGERY","82 LILLIE ROAD","FULHAM","LONDON","SW6 1TN",NULL
"E85005","THE SURGERY","13 WESTWAY","SHEPHERDS BUSH","LONDON","W12 0PT",NULL
"E85003","NORTH END MEDICAL CENTRE","211 NORTH END ROAD","WEST KENSINGTON","LONDON","W14 9NP",NULL
"E84712","HOMELESS DAY CENTRE","RESETTLEMENT PROJECT","60 ASHFORD ROAD","LONDON","NW2 6TU",NULL
"E84706","FRYENT MEDICAL CENTRE","331 CHURCH LANE","KINGSBURY","LONDON","NW9 8JD",NULL
"E84704","ST.GEORGES MEDICAL CENTRE","PARK HILL HOUSE","9 DOLLIS HILL LANE","LONDON","NW2 6JH",NULL
"E84690","CREST MEDICAL CENTRE","157 CREST ROAD","NEASDEN","LONDON","NW2 7NA",NULL
"E84671","THE SURGERY","91 ST.RAPHAELS WAY","NEASDEN","LONDON","NW10 0NU",NULL
"E84656","ROUNDWOOD PARK MED. CTR.","POUND LANE CLINIC","POUND LANE","LONDON","NW10 2HH",NULL
"E84074","FREUCHEN MEDICAL CENTRE","190 HIGH STREET","HARLESDEN","LONDON","NW10 4ST",NULL
"E84067","THE CHURCH LANE SURGERY","282 CHURCH LANE","KINGSBURY","LONDON","NW9 8LU",NULL
"E84042","KILBURN PARK MEDICAL CTR.","12 CAMBRIDGE GARDENS","KILBURN","LONDON","NW6 5AY",NULL
"E84031","BRENTFIELD MEDICAL CENTRE","10 KINGFISHER WAY","BRENTFIELD ROAD","LONDON","NW10 8TF",NULL
"E84021","THE MEDICAL CENTRE","144-150 HIGH ROAD","WILLESDEN","LONDON","NW10 2PT",NULL
"E84015","WILLOW TREE FAMILY DRS","301 KINGSBURY ROAD","KINGSBURY","LONDON","NW9 9PE",NULL
"E84006","THE LAW MEDICAL","GROUP PRACTICE","9 WROTTESLEY ROAD","LONDON","NW10 5UY",NULL
"E83667","GROVEMEAD HEALTH CENTRE","67 ELLIOT ROAD","HENDON","LONDON","NW4 3EB",NULL
"E83666","36B WOODHOUSE ROAD","NORTH FINCHLEY","","LONDON","N12 0RG",NULL
"E83665","EDGWARE COMM. HOSPITAL","EDGWARE ROAD","EDGWARE","LONDON","HA8 0AD",NULL
"E83662","THE SURGERY","79 FRIERN BARNET ROAD","NEW SOUTHGATE","LONDON","N11 3EH",NULL
"E83657","HILLVIEW SURGERY","114 FINCHLEY LANE","HENDON","LONDON","NW4 1DG",NULL
"E83645","OSIDGE MEDICAL CENTRE","182 OSIDGE LANE","SOUTHGATE","LONDON","N14 5DR",NULL
"E83639","ROSEMARY SURGERY","2 ROSEMARY AVENUE","FINCHLEY","LONDON","N3 2QN",NULL
"E83638","THE MOUNTFIELD SURGERY","55 MOUNTFIELD ROAD","FINCHLEY","LONDON","N3 3NR",NULL
"E83633","WATFORD WAY MEDICAL CTR","278 WATFORD WAY","HENDON","LONDON","NW4 4UR",NULL
"E83631","CHERRY TREE SURGERY","26 SOUTHERN ROAD","EAST FINCHLEY","LONDON","N2 9JG",NULL
"E83621","BRUNSWICK PARK HEALTH CTR","BRUNSWICK PARK ROAD","NEW SOUTHGATE","LONDON","N11 1EY",NULL
"E83052","BRUNSWICK PARK HTH.CTR.","BRUNSWICK PARK ROAD","NEW SOUTHGATE","LONDON","N11 1EY",NULL
"E83050","EAST FINCHLEY MED CTR","39 BARONSMERE ROAD","EAST FINCHLEY","LONDON","N2 9QD",NULL
"E83045","16 ST.JOHNS VILLAS","FRIERN BARNET ROAD","","LONDON","N11 3BU",NULL
"E83039","RAVENSCROFT MEDICAL CTR","166-168 GOLDERS GREEN RD","GOLDERS GREEN","LONDON","NW11 8BB",NULL
"E83037","DERWENT CRESCENT MED CTR","20 DERWENT CRESCENT","WHETSTONE","LONDON","N20 0QQ",NULL
"E83035","WENTWORTH MEDICAL PRACT.","38 WENTWORTH AVENUE","FINCHLEY CENTRAL","LONDON","N3 1YL",NULL
"E83024","ST ANDREWS MEDICAL PRACT.","50 OAKLEIGH ROAD NORTH","WHETSTONE","LONDON","N20 9EX",NULL
"E83023","HOLLY PARK CLINIC","HOLLY PARK ROAD","FRIERN BARNET","LONDON","N11 3HB",NULL
"E83021","TORRINGTON PARK HLTH CTR.","16 TORRINGTON PARK","NORTH FINCHLEY","LONDON","N12 9SS",NULL
"E83020","ST.GEORGES MEDICAL CENTRE","7 SUNNINGFIELDS ROAD","HENDON","LONDON","NW4 4QR",NULL
"E83016","MILLWAY MEDICAL PRACTICE","HARTLEY AVENUE","MILL HILL","LONDON","NW7 2HX",NULL
"E83013","CORNWALL HOUSE PRACTICE","CORNWALL AVENUE","FINCHLEY","LONDON","N3 1LD",NULL
"E83010","TORRINGTON PARK HLTH CTR","TORRINGTON PARK ROAD","NORTH FINCHLEY","LONDON","N12 9SS",NULL
"E83009","TEMPLE FORTUNE HEALTH CTR","23 TEMPLE FORTUNE LANE","GOLDERS GREEN","LONDON","NW11 7TE",NULL
"E83008","HEATHFIELDE MEDICAL CTRE","LYTTELTON ROAD","FINCHLEY","LONDON","N2 0EE",NULL
"E83003","OAKLEIGH ROAD HEALTH CTR","280 OAKLEIGH ROAD NORTH","WHETSTONE","LONDON","N20 0DH",NULL
